Network,Algorithm,alpha,beta,num_runs,Core Avg Clustering,Periphery Avg Clustering,Clustering Ratio (C/P)
Karate Club,BE,,,20.000000,0.110294,0.584588,0.188670
Dolphins,BE,,,20.000000,,0.258958,
Les Miserables,BE,,,20.000000,,0.573137,
Football,BE,,,10.000000,,0.403216,
Facebook Combined,BE,,,1.000000,0.363086,0.605667,0.599482
Power Grid,BE,,,1.000000,0.080152,0.000000,
Bianconi-0.7,BE,,,1.000000,0.375318,0.070601,5.316070
Bianconi-0.97,BE,,,1.000000,0.142551,0.637053,0.223766
YeastL,BE,,,10.000000,0.083003,0.132596,0.625987
Karate Club,Rombach,0.500000,0.900000,5.000000,0.235755,0.603047,0.390939
Dolphins,Rombach,0.500000,0.900000,5.000000,0.399002,0.243954,1.635565
Les Miserables,Rombach,0.500000,0.900000,5.000000,0.543964,0.576054,0.944293
Football,Rombach,0.500000,0.900000,5.000000,0.498072,0.393183,1.266767
Facebook Combined,Rombach,0.500000,0.900000,5.000000,0.658506,0.599677,1.098102
Power Grid,Rombach,0.500000,0.900000,5.000000,0.238759,0.062479,3.821410
Bianconi-0.7,Rombach,0.500000,0.900000,5.000000,0.159580,0.399195,0.399754
Bianconi-0.97,Rombach,0.500000,0.900000,5.000000,0.240693,0.660992,0.364139
YeastL,Rombach,0.500000,0.900000,5.000000,0.172803,0.125376,1.378276
Karate Club,LowRankCore,,0.100000,,0.183903,0.608065,0.302440
Dolphins,LowRankCore,,0.100000,,0.420238,0.241678,1.738833
Les Miserables,LowRankCore,,0.100000,,0.590042,0.571177,1.033029
Football,LowRankCore,,0.100000,,0.391246,0.404611,0.966969
Facebook Combined,LowRankCore,,0.100000,,0.660440,0.599446,1.101751
Power Grid,LowRankCore,,0.100000,,0.090194,0.078978,1.142017
Bianconi-0.7,LowRankCore,,0.100000,,0.187142,0.396159,0.472392
Bianconi-0.97,LowRankCore,,0.100000,,0.302381,0.654184,0.462227
YeastL,LowRankCore,,0.100000,,0.098438,0.133718,0.736160
